brand,category,condition,original_price,resale_price
Acne Studios,Women's Bottoms,Like New,40200,24200
Manish Malhotra,Men's Tops,Like New,79400,38300
Park Avenue,Women's Bottoms,Good,5200,2350
COS,Women's Traditional,Like New,4600,3100
Uniqlo,Bags,Like New,2300,1450
Manish Malhotra,Women's Outerwear,Like New,113600,85150
Calvin Klein,Men's Bottoms,New with tags,8900,6550
Mango,Men's Tops,Well Loved,4700,550
COS,Women's Outerwear,Like New,8400,5700
W,Women's Bottoms,Good,2200,800
Marks & Spencer,Women's Traditional,Fair,4700,1600
Sangria,Women's Bottoms,Well Loved,2700,450
Nanushka,Women's Outerwear,Good,27600,13700
Accessorize,Women's Tops,New with tags,3700,2850
Charles & Keith,Women's Dresses,Good,2600,1000
& Other Stories,Women's Outerwear,Fair,11500,3100
Amrapali,Women's Dresses,Like New,9400,5700
Local Brand,Jewelry,Good,1600,600
Ritu Kumar,Women's Dresses,Well Loved,21600,2350
Under Armour,Women's Outerwear,Like New,2300,2000
Hidesign,Men's Tops,Like New,9100,4550
Baggit,Women's Tops,Like New,4200,2200
Anju Modi,Women's Bottoms,Good,25300,9600
Vero Moda,Men's Bottoms,Like New,4600,2350
Clarks,Women's Outerwear,Good,11700,5650
Accessorize,Women's Tops,Well Loved,2000,200
Chemistry,Men's Tops,Good,1300,550
Tribe Amrapali,Women's Traditional,New with tags,8300,7350
Peter England,Men's Bottoms,Like New,2300,1300
Reliance Trends,Women's Dresses,Like New,1550,1050
Sabyasachi,Women's Tops,Good,157400,69250
Aurelia,Accessories,Like New,2900,1650
H&M,Footwear,Well Loved,1000,150
Forever 21,Bags,Fair,3200,900
Amrapali,Men's Tops,Good,18800,7100
Rohit Bal,Bags,Like New,63900,42250
Reformation,Women's Bottoms,Good,19600,7700
Tommy Hilfiger,Women's Tops,Fair,8800,2350
No Brand,Accessories,New with tags,1100,700
Vero Moda,Women's Bottoms,Like New,5800,3550
Puma,Men's Bottoms,Fair,6600,1550
Max,Men's Bottoms,Like New,700,450
Aurelia,Men's Tops,New with tags,1500,1000
Only,Women's Dresses,Good,3900,1450
Nanushka,Women's Bottoms,Like New,28900,18850
Zara,Women's Bottoms,Fair,7400,1800
H&M,Women's Traditional,Well Loved,900,150
Shantanu & Nikhil,Women's Traditional,Like New,17200,11950
Acne Studios,Women's Tops,Like New,48300,31850
Ritu Kumar,Women's Tops,Good,6200,2850
New Balance,Bags,Good,8000,3500
AND,Jewelry,Fair,8500,2350
Masaba Gupta,Accessories,Fair,21100,4150
Rangmanch,Men's Bottoms,Fair,1500,400
Nike,Bags,Fair,4000,1150
Westside,Women's Dresses,Good,500,250
Skechers,Women's Tops,Like New,2800,1700
ASOS,Women's Bottoms,Good,3900,1650
Westside,Jewelry,Fair,3700,1000
Mango,Men's Bottoms,Fair,8900,2400
Rohit Bal,Women's Tops,Fair,41600,10700
Pantaloons,Women's Bottoms,Good,900,350
Marks & Spencer,Women's Bottoms,Well Loved,6000,750
Abu Jani Sandeep Khosla,Women's Bottoms,Well Loved,93200,12950
Nine West,Men's Tops,Well Loved,7000,1000
Baggit,Women's Tops,Good,5400,2550
Local Brand,Women's Tops,Like New,1650,1100
Monte Carlo,Accessories,Good,1900,600
ARKET,Women's Tops,Fair,17200,4050
Amrapali,Women's Tops,Like New,9500,5650
No Brand,Women's Dresses,Fair,1200,250
Toteme,Women's Dresses,Good,15600,6450
W,Women's Outerwear,Fair,2300,650
Reformation,Men's Tops,Like New,19300,12100
Local Brand,Women's Outerwear,Good,1350,700
Max,Women's Traditional,Fair,1400,400
Under Armour,Women's Bottoms,Good,7100,3000
Anita Dongre,Bags,Fair,35400,10000
Tommy Hilfiger,Jewelry,Good,6000,3150
Aurelia,Women's Traditional,Good,2000,900
Peter England,Women's Traditional,Like New,3200,2400
Vans,Women's Traditional,Like New,4100,2750
Reformation,Women's Bottoms,Fair,11300,2800
Max,Women's Tops,Fair,2200,550
Calvin Klein,Bags,New with tags,13700,10650
Van Heusen,Men's Tops,Good,5900,2250
Rohit Bal,Women's Tops,Like New,41600,23350
Tribe Amrapali,Men's Bottoms,Well Loved,6500,650
Tribe Amrapali,Women's Bottoms,Good,4300,1450
Baggit,Men's Tops,Well Loved,2100,300
Accessorize,Women's Bottoms,Fair,3300,700
Forever 21,Women's Outerwear,Like New,1700,1400
Park Avenue,Women's Bottoms,Fair,1300,350
Louis Philippe,Women's Dresses,Good,5300,2500
& Other Stories,Men's Bottoms,Like New,10400,6150
Zara,Women's Tops,Good,3400,1200
Tommy Hilfiger,Women's Tops,Like New,9800,5000
Vans,Women's Traditional,Good,5400,2450
Vans,Women's Tops,Well Loved,7600,900
Nanushka,Women's Sets,Good,20000,9350
Park Avenue,Women's Dresses,Good,4400,1450
Reformation,Women's Outerwear,Fair,24300,6750
FabIndia,Women's Bottoms,Fair,3400,800
Tommy Hilfiger,Women's Traditional,New with tags,5300,4770
Park Avenue,Women's Bottoms,Good,2500,1100
Amrapali,Women's Sets,Good,11700,5000
Reebok,Jewelry,Good,1600,650
& Other Stories,Women's Dresses,Good,7800,2850
Under Armour,Men's Bottoms,Like New,6800,3450
Hidesign,Women's Traditional,Like New,18800,12950
Puma,Women's Sets,Fair,1800,450
Adidas,Women's Sets,Good,8300,3650
Ritu Wear,Women's Bottoms,Fair,6600,1800
Rangmanch,Women's Traditional,Like New,900,550
Toteme,Women's Tops,Good,16700,7650
Amrapali,Men's Bottoms,Like New,13300,7400
FabIndia,Men's Outerwear,Good,2500,1300
Charles & Keith,Women's Outerwear,Fair,8700,2300
Anju Modi,Men's Tops,New with tags,12500,9100
Shantanu & Nikhil,Men's Bottoms,Good,21300,10050
Vero Moda,Men's Tops,Well Loved,1600,200
Park Avenue,Men's Tops,Like New,4200,2700
Vero Moda,Men's Bottoms,Fair,2100,600
Louis Philippe,Men's Tops,New with tags,4400,3500
Louis Philippe,Footwear,Like New,3900,2350
Anita Dongre,Women's Traditional,Like New,19900,14100
Clarks,Men's Formal,Fair,10800,2650
Aldo,Women's Bottoms,Fair,5600,1200
Van Heusen,Men's Outerwear,New with tags,3400,3060
FabIndia,Women's Tops,Good,2600,900
Zara,Women's Traditional,New with tags,4300,3800
Ralph Lauren,Women's Traditional,Well Loved,5100,800
Westside,Women's Traditional,Like New,2000,1400
COS,Jewelry,Good,8800,3800
Sabyasachi,Women's Outerwear,Fair,75800,17400
Aurelia,Women's Traditional,Like New,900,700
New Balance,Women's Tops,Good,9500,3600
Rangmanch,Women's Dresses,Well Loved,4400,500
COS,Men's Outerwear,Like New,7800,5300
Anita Dongre,Men's Tops,Like New,39200,22850
Converse,Women's Outerwear,New with tags,5400,4860
Zara,Women's Bottoms,Fair,7900,2100
Vero Moda,Women's Bottoms,Good,5000,2150
Zara,Women's Bottoms,Fair,6000,1200
Rangmanch,Women's Tops,Well Loved,4700,600
Anju Modi,Men's Formal,Like New,19100,14550
Hidesign,Women's Outerwear,Good,12200,5800
New Balance,Women's Traditional,Well Loved,11400,1650
Zara,Women's Tops,New with tags,6900,5200
Reliance Trends,Women's Tops,Like New,1900,1050
Acne Studios,Men's Tops,Good,41300,13750
Jaypore,Men's Bottoms,Good,5300,1800
Thrift,Women's Traditional,Fair,350,100
No Brand,Accessories,Fair,1000,200
Acne Studios,Women's Tops,Good,25000,11800
Uniqlo,Women's Dresses,Like New,1600,1050
Monte Carlo,Accessories,Fair,2700,700
Payal Singhal,Women's Dresses,Good,27000,11200
Nike,Men's Tops,Like New,2400,1500
Mango,Men's Bottoms,Like New,7200,4950
Calvin Klein,Women's Traditional,Good,9400,4300
Levi's,Women's Bottoms,Like New,3900,2700
Van Heusen,Women's Traditional,Good,3700,1500
New Balance,Women's Sets,Like New,5400,3000
Reformation,Bags,Like New,10300,6750
Clarks,Jewelry,Like New,4500,3200
Amrapali,Women's Outerwear,Well Loved,18000,2300
V-Mart,Women's Outerwear,Well Loved,1050,100
Nike,Women's Bottoms,Well Loved,6300,1100
Thrift,Women's Tops,Fair,700,200
Reliance Trends,Women's Sets,Fair,750,200
Aurelia,Women's Bottoms,Like New,3900,2550
Anju Modi,Women's Dresses,Good,25800,10150
Zara,Men's Tops,New with tags,2100,1500
Reliance Trends,Women's Bottoms,Like New,1100,700
Rangmanch,Women's Tops,Good,3900,1700
Tribe Amrapali,Women's Traditional,Like New,1600,1300
Toteme,Women's Bottoms,New with tags,13600,9550
Manish Malhotra,Bags,Like New,121000,85300
Uniqlo,Women's Tops,Fair,6300,1600
Accessorize,Women's Bottoms,New with tags,3000,2150
Ritu Kumar,Women's Tops,Like New,18300,10600
Hidesign,Women's Tops,Good,6400,2500
Ritu Wear,Men's Tops,Good,8300,3500
Hidesign,Women's Tops,Well Loved,9700,1200
Shantanu & Nikhil,Footwear,Good,12800,5800
Vero Moda,Women's Bottoms,Good,2400,1000
COS,Women's Bottoms,Good,8100,3400
Anamika Khanna,Men's Outerwear,Fair,39300,11150
Reformation,Women's Traditional,Fair,21400,5250
Max,Women's Traditional,Fair,700,150
Ritu Wear,Women's Outerwear,Good,5100,2800
Under Armour,Women's Tops,Well Loved,7500,950
Park Avenue,Women's Dresses,Good,5100,2100
Only,Women's Dresses,Fair,4200,850
Jaypore,Women's Tops,Well Loved,1300,200
ARKET,Women's Tops,Like New,16000,10950
Converse,Women's Traditional,Fair,6000,1850
Levi's,Men's Outerwear,New with tags,3400,3060
Tribe Amrapali,Men's Bottoms,Good,4700,1450
Thrift,Women's Tops,Fair,1350,250
Shantanu & Nikhil,Women's Bottoms,New with tags,30400,25400
Westside,Men's Bottoms,Fair,2900,600
AND,Women's Traditional,Good,1300,500
Rohit Bal,Men's Tops,Like New,33800,18600
W,Women's Sets,Fair,5600,1550
Vero Moda,Bags,Like New,1400,1050
Marks & Spencer,Women's Traditional,New with tags,4000,3600
Reliance Trends,Men's Formal,Fair,1150,300
Tribe Amrapali,Women's Bottoms,Fair,6300,1250
Anamika Khanna,Women's Traditional,Fair,19400,4500
COS,Women's Tops,Good,12300,4750
Rohit Bal,Women's Bottoms,New with tags,56400,48350
Accessorize,Women's Tops,Like New,3800,2000
Adidas,Bags,Good,4100,1750
Toteme,Men's Bottoms,New with tags,20200,13950
Ralph Lauren,Women's Tops,Fair,12200,2900
Tommy Hilfiger,Women's Bottoms,Good,11000,4250
Marks & Spencer,Men's Outerwear,Good,6500,3100
Allen Solly,Jewelry,Good,3700,1750
Toteme,Women's Outerwear,Like New,31400,24450
Ritu Wear,Women's Bottoms,Well Loved,6100,1000
Anatomy,Women's Tops,New with tags,4000,3350
Anju Modi,Women's Dresses,Good,10900,3900
Max,Women's Traditional,New with tags,800,700
Westside,Accessories,Fair,2000,550
Sangria,Women's Dresses,Like New,1600,1000
Toteme,Women's Traditional,Good,25600,10100
H&M,Women's Dresses,Like New,4000,2650
Masaba Gupta,Men's Bottoms,Like New,21400,12400
Converse,Women's Traditional,Good,7300,3400
Anju Modi,Women's Outerwear,Good,19300,9050
Zara,Men's Bottoms,Well Loved,8400,1100
Under Armour,Women's Tops,Like New,5600,3400
ARKET,Women's Bottoms,New with tags,7000,5700
Reebok,Women's Sets,Well Loved,5800,700
Forever 21,Accessories,Like New,1300,700
Vero Moda,Women's Bottoms,Good,1300,450
Vans,Footwear,Good,5400,2400
Zara,Men's Formal,New with tags,8200,7350
Calvin Klein,Women's Bottoms,Well Loved,8600,1250
Forever 21,Women's Outerwear,Good,1900,850
Local Brand,Women's Bottoms,Fair,1150,250
Reebok,Women's Tops,Fair,6600,1500
H&M,Women's Bottoms,Fair,4500,1350
Biba,Men's Tops,Good,1200,450
Arrow,Men's Bottoms,Good,2200,750
Max,Bags,Like New,1200,750
& Other Stories,Men's Tops,Good,8300,2950
Arrow,Women's Traditional,Well Loved,2800,500
Amrapali,Women's Bottoms,Good,12200,5250
Forever 21,Men's Tops,Good,3800,1450
Anju Modi,Men's Outerwear,Like New,21900,15450
Anatomy,Men's Bottoms,Good,3100,1250
Rohit Bal,Men's Tops,Fair,36700,9250
ARKET,Women's Bottoms,Good,6600,3300
H&M,Footwear,Good,3600,1700
Hidesign,Women's Dresses,Like New,14500,9700
Only,Men's Tops,New with tags,4600,2900
Amrapali,Men's Formal,Good,15600,6050
Max,Jewelry,Like New,2400,1600
Anita Dongre,Men's Outerwear,Good,12100,6600
Lacoste,Women's Traditional,Like New,5600,3900
Toteme,Women's Dresses,Good,29600,13900
Aldo,Men's Formal,Like New,4300,2350
Manish Malhotra,Men's Tops,Good,43100,18950
Shantanu & Nikhil,Women's Sets,New with tags,27800,24750
FabIndia,Women's Bottoms,Good,2200,900
Tribe Amrapali,Men's Bottoms,Good,3600,1600
Thrift,Men's Formal,Like New,1400,750
Aldo,Footwear,New with tags,5200,4680
Aurelia,Women's Tops,Fair,2500,600
Levi's,Men's Tops,Like New,4500,2950
Zara,Women's Outerwear,Well Loved,6200,1100
& Other Stories,Accessories,Well Loved,8600,1050
Tommy Hilfiger,Women's Dresses,Like New,4100,2650
Allen Solly,Women's Dresses,Like New,5400,2950
Skechers,Women's Tops,New with tags,6300,4500
Uniqlo,Bags,Like New,4200,2950
Anatomy,Women's Traditional,Well Loved,4700,600
Nike,Accessories,Like New,8300,4200
Levi's,Bags,Good,8200,3900
Reebok,Men's Tops,Good,3900,1450
Payal Singhal,Women's Traditional,Fair,27100,6700
Reliance Trends,Men's Outerwear,Good,1950,750
Zara,Men's Outerwear,Good,2300,950
Amrapali,Women's Traditional,Fair,5100,1150
Under Armour,Women's Bottoms,Good,3900,1350
Adidas,Men's Tops,Good,2500,900
Anamika Khanna,Women's Sets,Good,30100,13750
Uniqlo,Women's Bottoms,Fair,3900,1100
& Other Stories,Women's Traditional,Good,9700,3700
Tarun Tahiliani,Men's Tops,Fair,119000,29250
Rangmanch,Women's Tops,Good,3100,1050
Westside,Women's Tops,Fair,3000,700
Rangmanch,Women's Tops,Fair,2900,550
W,Women's Dresses,Good,5500,2750
COS,Women's Tops,New with tags,4100,2950
Forever 21,Women's Bottoms,New with tags,3100,2700
Park Avenue,Jewelry,Well Loved,5400,750
ARKET,Women's Tops,Like New,8400,5550
Tribe Amrapali,Women's Bottoms,Like New,2500,1400
Reformation,Men's Bottoms,Fair,24400,5450
& Other Stories,Women's Dresses,Like New,8500,5050
Accessorize,Women's Bottoms,Like New,1600,900
Clarks,Men's Tops,Fair,5300,1150
Masaba Gupta,Women's Bottoms,Good,14400,5700
AND,Women's Bottoms,Good,5300,2500
Puma,Men's Bottoms,Good,6100,1950
Jaypore,Women's Traditional,Good,5400,2250
Payal Singhal,Women's Bottoms,Like New,12800,8600
Reformation,Women's Traditional,Like New,9900,6200
New Balance,Women's Tops,Good,9100,3800
Shantanu & Nikhil,Women's Outerwear,Like New,18700,12800
ASOS,Women's Bottoms,New with tags,3500,2750
Converse,Women's Bottoms,Like New,4700,2950
COS,Men's Tops,Good,14500,4550
Rohit Bal,Women's Sets,Like New,54300,37000
Rangmanch,Women's Traditional,Like New,3900,2700
Levi's,Women's Bottoms,Like New,6600,3950
Sabyasachi,Women's Tops,Good,153600,58250
Steve Madden,Women's Bottoms,Good,4200,1600
Manish Malhotra,Men's Tops,Good,42300,19650
Calvin Klein,Men's Tops,Fair,9700,2600
Baggit,Footwear,Good,1200,500
Converse,Men's Formal,Good,4300,1550
Vans,Men's Outerwear,Like New,5700,4000
Baggit,Women's Bottoms,Good,5100,1900
Allen Solly,Men's Bottoms,Fair,5500,1200
Allen Solly,Men's Bottoms,New with tags,5900,4700
Reformation,Women's Outerwear,New with tags,17800,16020
Levi's,Men's Bottoms,Like New,8700,5750
Arrow,Footwear,Good,5800,2400
Global Desi,Footwear,Like New,5000,3400
Ritu Kumar,Women's Sets,Good,26000,10900
Sangria,Accessories,Fair,1700,400
Reformation,Women's Traditional,Like New,24400,17850
Vans,Women's Dresses,New with tags,4800,3650
No Brand,Women's Tops,Good,150,100
Anita Dongre,Women's Bottoms,Like New,17100,11550
Monte Carlo,Women's Bottoms,New with tags,2000,1500
Thrift,Footwear,Like New,250,150
Ritu Wear,Women's Traditional,Well Loved,2200,300
Puma,Women's Bottoms,Good,6300,2550
Uniqlo,Women's Bottoms,Like New,2000,1150
Pantaloons,Women's Dresses,Like New,3600,2050
ASOS,Men's Tops,Good,3600,1250
Pantaloons,Women's Traditional,Like New,600,450
Only,Women's Tops,Like New,4600,2950
Amrapali,Women's Tops,Good,12600,5050
Aurelia,Women's Tops,Good,2700,1150
Anita Dongre,Women's Tops,Like New,39600,22700
Converse,Women's Sets,Good,7400,2950
Van Heusen,Men's Bottoms,New with tags,2200,1700
Anatomy,Women's Tops,Fair,3500,750
Sabyasachi,Men's Outerwear,Good,76100,29350
& Other Stories,Women's Dresses,Like New,4600,2650
Aurelia,Women's Tops,Like New,2500,1750
Arrow,Women's Bottoms,Good,3300,1250
Reformation,Men's Tops,Like New,21900,11800
Arrow,Women's Bottoms,Good,2600,1000
Amrapali,Men's Tops,Like New,14900,7800
Vero Moda,Women's Tops,Like New,1500,900
Rohit Bal,Men's Tops,Fair,59100,12550
Nanushka,Women's Traditional,Fair,14800,4600
Chemistry,Women's Bottoms,Well Loved,2700,350
Ralph Lauren,Women's Outerwear,Good,10100,5450
Nike,Men's Outerwear,Good,9400,4300
Accessorize,Women's Traditional,Good,2800,1450
Louis Philippe,Women's Bottoms,Good,5300,2250
Rangmanch,Women's Tops,New with tags,3900,3100
Anatomy,Bags,Good,4000,2200
Steve Madden,Women's Tops,Fair,8100,2100
Payal Singhal,Women's Tops,Like New,6800,4200
Amrapali,Men's Tops,Fair,18700,4200
Tribe Amrapali,Women's Tops,Good,5700,2100
Adidas,Women's Bottoms,Fair,4900,1300
Anju Modi,Women's Sets,Good,22400,9650
Sabyasachi,Women's Outerwear,Like New,129700,80150
Louis Philippe,Women's Dresses,Fair,5200,1250
Vintage,Footwear,Fair,0,1100
Anamika Khanna,Women's Sets,Like New,25000,15100
Anita Dongre,Men's Tops,Like New,15200,10250
Nine West,Women's Traditional,Like New,8200,5050
Park Avenue,Women's Sets,Fair,5700,1450
Masaba Gupta,Women's Dresses,Fair,16700,5400
Abu Jani Sandeep Khosla,Women's Tops,Good,44000,17250
Levi's,Women's Dresses,Fair,8500,2450
Steve Madden,Women's Dresses,Fair,6900,1950
Rohit Bal,Women's Outerwear,New with tags,47900,43110
Peter England,Women's Traditional,Like New,3100,2000
Hidesign,Men's Tops,Good,8900,4100
Tarun Tahiliani,Bags,New with tags,101500,91000
Tribe Amrapali,Men's Tops,Fair,5600,1150
Toteme,Women's Traditional,Good,13400,6650
Amrapali,Women's Outerwear,Like New,18600,11550
Manish Malhotra,Women's Bottoms,Fair,137700,37600
Manish Malhotra,Footwear,Like New,46300,27900
Adidas,Women's Tops,Like New,6500,3550
Reliance Trends,Women's Traditional,Good,1450,650
Levi's,Women's Dresses,Fair,4800,1300
Vans,Bags,Fair,4800,1400
New Balance,Women's Outerwear,Good,5900,2650
Vintage,Women's Dresses,New with tags,0,3850
Puma,Men's Bottoms,Like New,3400,1900
Steve Madden,Men's Tops,Good,6200,2150
Rohit Bal,Women's Bottoms,Good,41500,16900
V-Mart,Women's Traditional,New with tags,750,600
Tribe Amrapali,Women's Bottoms,Good,1900,750
Global Desi,Bags,Well Loved,7900,1200
Aldo,Men's Outerwear,Good,6700,3300
Forever 21,Men's Formal,Fair,3800,1150
Peter England,Women's Traditional,Fair,3000,1000
Pantaloons,Women's Traditional,Good,3200,1550
Pantaloons,Men's Bottoms,Well Loved,1000,100
Nike,Women's Tops,Like New,6300,3600
V-Mart,Women's Bottoms,Like New,550,350
Manish Malhotra,Women's Tops,Good,75300,26150
Pantaloons,Women's Tops,New with tags,600,500
Monte Carlo,Women's Bottoms,New with tags,4700,3750
Reebok,Bags,Good,2900,1350
Anatomy,Women's Tops,Good,1400,500
ARKET,Men's Tops,Like New,11600,6250
Peter England,Men's Bottoms,New with tags,3100,2150
FabIndia,Women's Dresses,New with tags,2300,1850
ARKET,Women's Dresses,Like New,9200,6100
Only,Women's Tops,Good,2000,700
Jaypore,Women's Outerwear,Like New,5600,4450
Vintage,Women's Tops,Like New,0,950
COS,Men's Tops,Fair,9600,2400
Thrift,Men's Bottoms,Well Loved,700,100
Ralph Lauren,Women's Traditional,Well Loved,6200,800
Hidesign,Women's Sets,Well Loved,14100,2200
& Other Stories,Men's Formal,Good,4000,1750
ASOS,Women's Outerwear,Like New,3200,2350
Jaypore,Women's Bottoms,Like New,7800,4850
H&M,Women's Traditional,Like New,2500,1900
Reliance Trends,Women's Bottoms,Fair,750,250
Park Avenue,Women's Bottoms,Well Loved,4400,650
Adidas,Women's Outerwear,Like New,4700,3100
Anatomy,Men's Tops,Fair,4600,1050
& Other Stories,Women's Traditional,Fair,11000,2700
Rohit Bal,Men's Formal,New with tags,34200,28450
Louis Philippe,Footwear,Well Loved,3800,550
Converse,Women's Tops,Fair,7500,1900
Ritu Kumar,Women's Tops,Well Loved,28800,4600
Forever 21,Women's Outerwear,Good,1100,500
Van Heusen,Women's Tops,Fair,4000,950
Tribe Amrapali,Women's Outerwear,Like New,6900,5100
Charles & Keith,Women's Outerwear,Like New,6200,4850
Vero Moda,Women's Outerwear,Like New,4800,3300
Levi's,Women's Traditional,Like New,8200,5300
Calvin Klein,Women's Tops,Like New,8100,4900
Aldo,Jewelry,Fair,7600,1950
Levi's,Women's Sets,Good,3600,1400
Arrow,Women's Dresses,Like New,3500,2250
Adidas,Bags,Good,7100,3550
Converse,Footwear,Good,7600,3300
Anatomy,Women's Bottoms,Fair,5000,1200
FabIndia,Men's Outerwear,Fair,2200,500
Under Armour,Women's Bottoms,Good,5100,2350
Reebok,Footwear,New with tags,2100,1800
Mango,Men's Formal,Good,8900,3550
Manish Malhotra,Women's Bottoms,Good,135900,47800
Westside,Women's Bottoms,Fair,3100,650
Anju Modi,Bags,Fair,24200,5000
Monte Carlo,Men's Tops,Good,1100,450
Thrift,Women's Bottoms,Like New,900,650
Charles & Keith,Footwear,Good,5700,2650
Arrow,Women's Dresses,New with tags,1700,1500
Adidas,Women's Traditional,Good,3600,1500
Reebok,Men's Tops,Like New,3700,2150
Baggit,Men's Tops,Good,1100,350
H&M,Women's Tops,Fair,1500,350
ASOS,Women's Traditional,Like New,900,600
Ritu Kumar,Women's Outerwear,Like New,19700,12450
ARKET,Bags,Good,9300,3900
Tarun Tahiliani,Men's Outerwear,New with tags,94900,85410
Peter England,Women's Tops,New with tags,1500,1300
Park Avenue,Women's Traditional,Good,2600,1050
H&M,Women's Bottoms,Fair,4300,800
Louis Philippe,Women's Tops,Like New,4700,2550
Charles & Keith,Men's Tops,Good,2700,1150
Tribe Amrapali,Men's Tops,Like New,7100,3500
Anamika Khanna,Women's Dresses,Good,31700,12400
Arrow,Men's Tops,Like New,4700,2600
Reliance Trends,Men's Formal,Fair,1100,300
W,Women's Bottoms,Like New,4200,2450
Anju Modi,Women's Bottoms,Like New,13400,8300
Chemistry,Women's Bottoms,New with tags,2600,2000
Arrow,Men's Bottoms,Good,4000,1450
Biba,Women's Traditional,Good,4900,2300
Shantanu & Nikhil,Women's Tops,Like New,31400,17700
Reformation,Women's Traditional,Fair,16900,5500
Masaba Gupta,Men's Bottoms,Like New,11200,5800
Skechers,Men's Tops,Good,7300,2450
Monte Carlo,Men's Outerwear,Good,2200,1050
Accessorize,Women's Dresses,Fair,4000,800
Anamika Khanna,Women's Traditional,Fair,14000,3850
ASOS,Men's Formal,Like New,4500,3050
Louis Philippe,Women's Dresses,Fair,5100,1200
Forever 21,Jewelry,Good,3600,1450
Amrapali,Women's Sets,Like New,7900,5650
Amrapali,Women's Dresses,Like New,10900,8100
Nanushka,Women's Bottoms,Good,19000,6850
Westside,Women's Tops,Well Loved,1600,200
Park Avenue,Women's Traditional,New with tags,4200,3350
Monte Carlo,Footwear,Like New,1000,600
Vero Moda,Women's Sets,Like New,4100,2450
Arrow,Men's Tops,Like New,4000,2000
Lacoste,Women's Bottoms,Like New,12000,7950
Under Armour,Women's Sets,Fair,5600,1750
V-Mart,Men's Tops,Good,450,200
Anju Modi,Bags,Good,10300,4150
Anamika Khanna,Footwear,New with tags,24900,22000
Skechers,Women's Outerwear,Fair,3800,1100
Westside,Women's Outerwear,Fair,1600,400
Marks & Spencer,Bags,Well Loved,6900,1200
Monte Carlo,Women's Traditional,Good,1900,850
Global Desi,Women's Bottoms,Fair,8800,2250
Vero Moda,Women's Bottoms,Good,6000,2650
Lacoste,Bags,Well Loved,6000,800
No Brand,Women's Outerwear,New with tags,550,495
Reliance Trends,Women's Bottoms,Good,1450,650
Nine West,Women's Bottoms,New with tags,6400,5150
Westside,Jewelry,Good,2200,1050
Arrow,Men's Outerwear,New with tags,1300,1100
Lacoste,Footwear,Like New,8200,5100
Masaba Gupta,Women's Outerwear,Fair,10500,3500
Tarun Tahiliani,Women's Outerwear,Good,111500,54150
No Brand,Men's Bottoms,Like New,150,100
Masaba Gupta,Women's Tops,Fair,15000,3500
ASOS,Women's Tops,Good,3700,1500
Sabyasachi,Women's Outerwear,Good,63200,32500
Anju Modi,Women's Sets,Good,9700,3950
Zara,Women's Outerwear,Good,1000,400
Amrapali,Women's Traditional,Fair,19000,5100
Mango,Men's Bottoms,Fair,3900,850
Nike,Women's Tops,Like New,3800,2350
Lacoste,Accessories,Like New,8400,4100
Jaypore,Women's Outerwear,Good,4300,2300
Rohit Bal,Bags,Good,33600,17600
Forever 21,Women's Outerwear,Fair,3300,900
Chemistry,Women's Sets,Fair,1700,400
Marks & Spencer,Women's Traditional,New with tags,2200,1850
Nanushka,Women's Traditional,Like New,20800,16150
Skechers,Men's Bottoms,Good,7300,2450
Under Armour,Women's Outerwear,Well Loved,3100,400
Arrow,Women's Bottoms,New with tags,5100,4100
Forever 21,Men's Bottoms,Good,1400,600
Accessorize,Men's Tops,Like New,3900,2500
Chemistry,Women's Tops,Good,1700,700
Tommy Hilfiger,Women's Dresses,Well Loved,11000,2000
Uniqlo,Bags,Good,1700,850
Anita Dongre,Accessories,Like New,32500,18250
Calvin Klein,Women's Traditional,Good,5600,2250
Zara,Women's Bottoms,Like New,1500,900
Amrapali,Women's Tops,Like New,4700,2750
Marks & Spencer,Footwear,Good,6900,3400
Acne Studios,Women's Traditional,Like New,47500,30900
Adidas,Men's Outerwear,Fair,4900,1200
Baggit,Men's Tops,Well Loved,1100,150
Steve Madden,Women's Traditional,Like New,8800,6550
Anamika Khanna,Men's Tops,Like New,14800,7900
AND,Women's Traditional,Like New,2400,1650
Accessorize,Women's Tops,Well Loved,2000,250
COS,Women's Traditional,New with tags,11500,10350
Manish Malhotra,Women's Bottoms,Like New,95800,53350
Rangmanch,Women's Traditional,New with tags,2600,2150
Biba,Women's Dresses,Fair,5300,1650
ARKET,Men's Outerwear,Well Loved,11900,1800
Ralph Lauren,Women's Tops,Well Loved,15600,1800
V-Mart,Men's Bottoms,Good,300,100
Baggit,Women's Traditional,New with tags,4000,3450
Converse,Men's Bottoms,New with tags,4700,3400
Biba,Women's Outerwear,Good,4600,1900
Aurelia,Women's Bottoms,New with tags,1200,1000
Forever 21,Footwear,Like New,2200,1650
Louis Philippe,Women's Sets,New with tags,3600,3000
Acne Studios,Women's Traditional,Well Loved,15000,2850
Vero Moda,Women's Traditional,Like New,4700,3550
Shantanu & Nikhil,Men's Formal,Good,11100,4250
Vans,Men's Tops,Good,7100,2500
Max,Women's Traditional,Fair,1300,400
Nike,Women's Dresses,New with tags,5200,3950
Sabyasachi,Women's Traditional,New with tags,109200,89700
Local Brand,Men's Outerwear,Good,450,200
Hidesign,Women's Tops,Like New,15400,9950
Local Brand,Women's Outerwear,Like New,1700,1050
Global Desi,Men's Outerwear,Like New,8800,6300
Calvin Klein,Men's Tops,Like New,3800,2550
